Tech,Geo class,Depth,Year,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
geohydro,4,allkm,2023,3832.673254,130.0666713,0
geohydro,5,allkm,2023,3674.179016,131.7203597,0
geohydro,6,allkm,2023,4393.763126,153.5563863,0
geohydro,7,allkm,2023,5020.604937,168.8597689,0
geohydro,8,allkm,2023,6555.346601,219.7621837,0
geohydro,9,allkm,2023,9608.74227,299.7219077,0
geohydro,10,allkm,2023,17567.01055,527.6493435,0
egs,1,allkm,2024,7484.905783,163.6518023,0
egs,2,allkm,2024,7918.824198,179.8821715,0
egs,3,allkm,2024,8045.14241,190.4955962,0
egs,4,allkm,2024,8232.782302,202.8221631,0
egs,5,allkm,2024,9328.60953,230.580695,0
egs,6,allkm,2024,10897.5406,270.5837364,0
egs,7,allkm,2024,12328.41615,275.2206712,0
egs,8,allkm,2024,14939.5739,343.187772,0
egs,9,allkm,2024,18872.90566,447.4213368,0
egs,10,allkm,2024,22049.84414,504.3071154,0
egs,1,nearfield,2024,4277.590399,132.7727256,0
egs,2,nearfield,2024,4149.796607,135.0586024,0
egs,3,nearfield,2024,4609.778297,145.2191956,0
egs,4,nearfield,2024,4884.824984,160.9746014,0
egs,5,nearfield,2024,4511.935243,156.3530102,0
egs,6,nearfield,2024,5801.124948,201.7687495,0
egs,7,nearfield,2024,7395.901833,223.269641,0
egs,8,nearfield,2024,8496.287459,255.9050675,0
egs,9,nearfield,2024,11136.17195,325.4165425,0
egs,10,nearfield,2024,12897.26854,368.0513462,0
geohydro,1,allkm,2024,2398.835538,95.86861541,0
geohydro,2,allkm,2024,3018.007072,110.4460355,0
geohydro,3,allkm,2024,3328.415849,118.9375313,0
geohydro,4,allkm,2024,3748.688281,129.3644341,0
geohydro,5,allkm,2024,3623.723708,131.3501936,0
geohydro,6,allkm,2024,4324.753834,152.9213113,0
geohydro,7,allkm,2024,4892.389269,166.3149866,0
geohydro,8,allkm,2024,6352.452534,215.5632435,0
geohydro,9,allkm,2024,9223.201253,292.4814758,0
geohydro,10,allkm,2024,16632.41343,509.9645231,0
egs,1,allkm,2025,6500.307573,157.2220936,0
egs,2,allkm,2025,6900.848298,172.7325239,0
egs,3,allkm,2025,7047.348144,183.1399119,0
egs,4,allkm,2025,7252.40357,195.2748306,0
egs,5,allkm,2025,8226.445975,221.8456022,0
egs,6,allkm,2025,9623.081304,260.1652752,0
egs,7,allkm,2025,10751.80963,262.0756848,0
egs,8,allkm,2025,13042.25731,325.9946662,0
egs,9,allkm,2025,16529.0251,424.3962027,0
egs,10,allkm,2025,19263.27183,479.9919231,0
egs,1,nearfield,2025,3943.75231,129.0257503,0
egs,2,nearfield,2025,3849.735176,131.4827233,0
egs,3,nearfield,2025,4282.137906,141.5528505,0
egs,4,nearfield,2025,4563.153296,157.0319877,0
egs,5,nearfield,2025,4271.67922,153.5349958,0
egs,6,nearfield,2025,5493.052387,197.7405144,0
egs,7,nearfield,2025,6913.152217,216.3381968,0
egs,8,nearfield,2025,7917.940115,247.3591237,0
egs,9,nearfield,2025,10325.60499,313.5149762,0
egs,10,nearfield,2025,11935.70378,355.8332692,0
geohydro,1,allkm,2025,2388.287134,95.91460275,0
geohydro,2,allkm,2025,2972.675746,110.1397826,0
geohydro,3,allkm,2025,3271.461901,118.4911914,0
geohydro,4,allkm,2025,3670.530298,128.6621969,0
geohydro,5,allkm,2025,3576.769056,130.9800274,0
geohydro,6,allkm,2025,4260.5325,152.2862362,0
geohydro,7,allkm,2025,4776.024509,163.7702043,0
geohydro,8,allkm,2025,6168.311861,211.3643032,0
geohydro,9,allkm,2025,8873.295595,285.241044,0
geohydro,10,allkm,2025,15784.20064,492.2797026,0
egs,1,allkm,2026,5708.288728,150.7923849,0
egs,2,allkm,2026,6081.980166,165.5828763,0
egs,3,allkm,2026,6244.714283,175.7842276,0
egs,4,allkm,2026,6463.778907,187.7274982,0
