r,rr,AC,DC,Source,Project(s),Vintage
p79,p29,,1861.65,1.5x geodesic distance,combinatorial,
p79,p3,,2192.29,1.5x geodesic distance,combinatorial,
p79,p30,,2186.99,1.5x geodesic distance,combinatorial,
p79,p31,,1713.73,1.5x geodesic distance,combinatorial,
p79,p32,,1155.9,1.5x geodesic distance,combinatorial,
p79,p33,,1370.89,1.5x geodesic distance,combinatorial,
p79,p34,,1390.16,1.5x geodesic distance,combinatorial,
p79,p35,,1364.47,1.5x geodesic distance,combinatorial,
p79,p36,,1021.52,1.5x geodesic distance,combinatorial,
p79,p37,,762.17,1.5x geodesic distance,combinatorial,
p79,p38,,667.79,1.5x geodesic distance,combinatorial,
p79,p39,,1211,1.5x geodesic distance,combinatorial,
p79,p4,,2322.67,1.5x geodesic distance,combinatorial,
p79,p40,,835.08,1.5x geodesic distance,combinatorial,
p79,p41,,650.53,1.5x geodesic distance,combinatorial,
p79,p42,,749.72,1.5x geodesic distance,combinatorial,
p79,p43,,445.54,1.5x geodesic distance,combinatorial,
p79,p44,,607.47,1.5x geodesic distance,combinatorial,
p79,p45,,543.75,1.5x geodesic distance,combinatorial,
p79,p46,,262.02,1.5x geodesic distance,combinatorial,
p79,p47,,1678.41,1.5x geodesic distance,combinatorial,
p79,p48,,1498.12,1.5x geodesic distance,combinatorial,
p79,p49,,1263.82,1.5x geodesic distance,combinatorial,
p79,p5,,2578.19,1.5x geodesic distance,combinatorial,
p79,p50,,1099.38,1.5x geodesic distance,combinatorial,
p79,p51,,961.41,1.5x geodesic distance,combinatorial,
p79,p52,,1147.8,1.5x geodesic distance,combinatorial,
p79,p53,,927.54,1.5x geodesic distance,combinatorial,
p79,p54,,663.6,1.5x geodesic distance,combinatorial,
p79,p55,,743.66,1.5x geodesic distance,combinatorial,
p79,p56,,878.57,1.5x geodesic distance,combinatorial,
p79,p57,,1225.94,1.5x geodesic distance,combinatorial,
p79,p58,,1361.97,1.5x geodesic distance,combinatorial,
p79,p59,,1919.3,1.5x geodesic distance,combinatorial,
p79,p6,,2651.34,1.5x geodesic distance,combinatorial,
p79,p60,,1575.19,1.5x geodesic distance,combinatorial,
p79,p61,,1761.37,1.5x geodesic distance,combinatorial,
p79,p62,,1657.85,1.5x geodesic distance,combinatorial,
p79,p63,,1284.67,1.5x geodesic distance,combinatorial,
p79,p64,,1552.7,1.5x geodesic distance,combinatorial,
p79,p65,,1656.56,1.5x geodesic distance,combinatorial,
p79,p66,,1435.92,1.5x geodesic distance,combinatorial,
p79,p67,,1501,1.5x geodesic distance,combinatorial,
p79,p68,,471.36,1.5x geodesic distance,combinatorial,
p79,p69,,342.15,1.5x geodesic distance,combinatorial,
p79,p7,,2178.6,1.5x geodesic distance,combinatorial,
p79,p70,,463.56,1.5x geodesic distance,combinatorial,
p79,p71,,467.61,1.5x geodesic distance,combinatorial,
p79,p72,,492.22,1.5x geodesic distance,combinatorial,
p79,p73,,609.28,1.5x geodesic distance,combinatorial,
p79,p8,,2635.45,1.5x geodesic distance,combinatorial,
p79,p81,,257.82,1.5x geodesic distance,combinatorial,
p79,p84,,680.66,1.5x geodesic distance,combinatorial,
p79,p85,,931.28,1.5x geodesic distance,combinatorial,
p79,p86,,1143.62,1.5x geodesic distance,combinatorial,
p79,p87,,1128.01,1.5x geodesic distance,combinatorial,
p79,p88,,912.36,1.5x geodesic distance,combinatorial,
p79,p89,,989.45,1.5x geodesic distance,combinatorial,
p79,p9,,2762.91,1.5x geodesic distance,combinatorial,
p79,p90,,1280.02,1.5x geodesic distance,combinatorial,
p79,p91,,1308.03,1.5x geodesic distance,combinatorial,
p79,p92,,718.22,1.5x geodesic distance,combinatorial,
p79,p93,,638.46,1.5x geodesic distance,combinatorial,
p79,p94,,996,1.5x geodesic distance,combinatorial,
p79,p95,,958.43,1.5x geodesic distance,combinatorial,
p79,p96,,1243.38,1.5x geodesic distance,combinatorial,
p79,p97,,992.07,1.5x geodesic distance,combinatorial,
p79,p98,,1054.56,1.5x geodesic distance,combinatorial,
p79,p99,,1145.46,1.5x geodesic distance,combinatorial,
p8,p1,,648.52,1.5x geodesic distance,combinatorial,
p8,p10,,829.44,1.5x geodesic distance,combinatorial,
p8,p100,,3469.91,1.5x geodesic distance,combinatorial,
p8,p101,,3636.46,1.5x geodesic distance,combinatorial,
p8,p102,,3932.61,1.5x geodesic distance,combinatorial,
p8,p103,,3012.38,1.5x geodesic distance,combinatorial,
p8,p104,,2824.18,1.5x geodesic distance,combinatorial,
p8,p105,,2883.46,1.5x geodesic distance,combinatorial,
p8,p106,,2837.74,1.5x geodesic distance,combinatorial,
p8,p107,,2783.05,1.5x geodesic distance,combinatorial,
p8,p108,,2824.01,1.5x geodesic distance,combinatorial,
p8,p109,,2915.28,1.5x geodesic distance,combinatorial,
p8,p11,,975.01,1.5x geodesic distance,combinatorial,
p8,p110,,3190.66,1.5x geodesic distance,combinatorial,
p8,p111,,3136.19,1.5x geodesic distance,combinatorial,
p8,p112,,3076.05,1.5x geodesic distance,combinatorial,
p8,p113,,2989.48,1.5x geodesic distance,combinatorial,
p8,p114,,2986.55,1.5x geodesic distance,combinatorial,
p8,p115,,3292.03,1.5x geodesic distance,combinatorial,
p8,p116,,3206.7,1.5x geodesic distance,combinatorial,
p8,p117,,3230.24,1.5x geodesic distance,combinatorial,
p8,p118,,3398.33,1.5x geodesic distance,combinatorial,
p8,p119,,3444.41,1.5x geodesic distance,combinatorial,
p8,p120,,3486.08,1.5x geodesic distance,combinatorial,
p8,p121,,3489.35,1.5x geodesic distance,combinatorial,
p8,p122,,3671.75,1.5x geodesic distance,combinatorial,
p8,p123,,3567.42,1.5x geodesic distance,combinatorial,
p8,p124,,3706.43,1.5x geodesic distance,combinatorial,
p8,p125,,3672.61,1.5x geodesic distance,combinatorial,
p8,p126,,3697.39,1.5x geodesic distance,combinatorial,
p8,p127,,3700.7,1.5x geodesic distance,combinatorial,
p8,p128,,3790.86,1.5x geodesic distance,combinatorial,
p8,p129,,3695.82,1.5x geodesic distance,combinatorial,
p8,p13,,779.19,1.5x geodesic distance,combinatorial,
p8,p130,,3860.83,1.5x geodesic distance,combinatorial,
p8,p131,,3907.75,1.5x geodesic distance,combinatorial,
p8,p132,,3783.59,1.5x geodesic distance,combinatorial,
p8,p133,,3897.26,1.5x geodesic distance,combinatorial,
p8,p134,,3921.68,1.5x geodesic distance,combinatorial,
p8,p14,,660.65,1.5x geodesic distance,combinatorial,
p8,p15,,523.28,1.5x geodesic distance,combinatorial,
p8,p16,,819.06,1.5x geodesic distance,combinatorial,
p8,p17,,845.95,1.5x geodesic distance,combinatorial,
p8,p18,,1037.12,1.5x geodesic distance,combinatorial,
p8,p19,,1354.58,1.5x geodesic distance,combinatorial,
p8,p2,,565.73,1.5x geodesic distance,combinatorial,
p8,p20,,1134.08,1.5x geodesic distance,combinatorial,
p8,p21,,1084.98,1.5x geodesic distance,combinatorial,
p8,p22,,1231.07,1.5x geodesic distance,combinatorial,
p8,p23,,1315.21,1.5x geodesic distance,combinatorial,
p8,p24,,1364.64,1.5x geodesic distance,combinatorial,
p8,p25,,814.63,1.5x geodesic distance,combinatorial,
p8,p26,,1007.04,1.5x geodesic distance,combinatorial,
p8,p27,,961.82,1.5x geodesic distance,combinatorial,
p8,p28,,1164.2,1.5x geodesic distance,combinatorial,
p8,p29,,1214.3,1.5x geodesic distance,combinatorial,
p8,p3,,751.46,1.5x geodesic distance,combinatorial,
p8,p30,,1335.43,1.5x geodesic distance,combinatorial,
p8,p31,,1428.15,1.5x geodesic distance,combinatorial,
p8,p32,,1481.56,1.5x geodesic distance,combinatorial,
p8,p33,,1375.45,1.5x geodesic distance,combinatorial,
p8,p34,,1412.78,1.5x geodesic distance,combinatorial,
p8,p35,,1339.01,1.5x geodesic distance,combinatorial,
p8,p36,,1698.91,1.5x geodesic distance,combinatorial,
p8,p37,,1980.01,1.5x geodesic distance,combinatorial,
p8,p38,,1967.7,1.5x geodesic distance,combinatorial,
p8,p39,,1447.61,1.5x geodesic distance,combinatorial,
p8,p4,,643.7,1.5x geodesic distance,combinatorial,
p8,p40,,1869.4,1.5x geodesic distance,combinatorial,
p8,p41,,2045.85,1.5x geodesic distance,combinatorial,
p8,p42,,2045.84,1.5x geodesic distance,combinatorial,
p8,p43,,2223.21,1.5x geodesic distance,combinatorial,
p8,p44,,2036.4,1.5x geodesic distance,combinatorial,
p8,p45,,2107.52,1.5x geodesic distance,combinatorial,
p8,p46,,2378.12,1.5x geodesic distance,combinatorial,
p8,p47,,1676.94,1.5x geodesic distance,combinatorial,
p8,p48,,1858.9,1.5x geodesic distance,combinatorial,
p8,p49,,1743.75,1.5x geodesic distance,combinatorial,
p8,p50,,2098.64,1.5x geodesic distance,combinatorial,
p8,p51,,2195.47,1.5x geodesic distance,combinatorial,
p8,p52,,1745.35,1.5x geodesic distance,combinatorial,
p8,p53,,2029.96,1.5x geodesic distance,combinatorial,
p8,p54,,2200.56,1.5x geodesic distance,combinatorial,
p8,p55,,2359.92,1.5x geodesic distance,combinatorial,
p8,p56,,2335.56,1.5x geodesic distance,combinatorial,
p8,p57,,2451.52,1.5x geodesic distance,combinatorial,
p8,p58,,2942.24,1.5x geodesic distance,combinatorial,
p8,p59,,1641.58,1.5x geodesic distance,combinatorial,
p8,p60,,1963.64,1.5x geodesic distance,combinatorial,
p8,p61,,1946.66,1.5x geodesic distance,combinatorial,
p8,p62,,1923.31,1.5x geodesic distance,combinatorial,
p8,p63,,2275.6,1.5x geodesic distance,combinatorial,
p8,p64,,2351.87,1.5x geodesic distance,combinatorial,
p8,p65,,2344.99,1.5x geodesic distance,combinatorial,
p8,p66,,2631.26,1.5x geodesic distance,combinatorial,
p8,p67,,2554.71,1.5x geodesic distance,combinatorial,
p8,p68,,2169.92,1.5x geodesic distance,combinatorial,
p8,p69,,2308.79,1.5x geodesic distance,combinatorial,
p8,p70,,2224.39,1.5x geodesic distance,combinatorial,
p8,p71,,2331.24,1.5x geodesic distance,combinatorial,
p8,p72,,2553.61,1.5x geodesic distance,combinatorial,
p8,p73,,2455.39,1.5x geodesic distance,combinatorial,
p8,p74,,2645.29,1.5x geodesic distance,combinatorial,
p8,p75,,2612.62,1.5x geodesic distance,combinatorial,
p8,p76,,2585.35,1.5x geodesic distance,combinatorial,
p8,p77,,2431.5,1.5x geodesic distance,combinatorial,
p8,p78,,2523.88,1.5x geodesic distance,combinatorial,
p8,p79,,2635.45,1.5x geodesic distance,combinatorial,
p8,p80,,2668.67,1.5x geodesic distance,combinatorial,
p8,p81,,2462.51,1.5x geodesic distance,combinatorial,
p8,p82,,2544.93,1.5x geodesic distance,combinatorial,
p8,p83,,2671.71,1.5x geodesic distance,combinatorial,
p8,p84,,2602.38,1.5x geodesic distance,combinatorial,
p8,p85,,2531.83,1.5x geodesic distance,combinatorial,
p8,p86,,2651.47,1.5x geodesic distance,combinatorial,
p8,p87,,2810.76,1.5x geodesic distance,combinatorial,
p8,p88,,2834.62,1.5x geodesic distance,combinatorial,
p8,p89,,3013.18,1.5x geodesic distance,combinatorial,
p8,p90,,3057.78,1.5x geodesic distance,combinatorial,
p8,p91,,3135.48,1.5x geodesic distance,combinatorial,
p8,p92,,2907.67,1.5x geodesic distance,combinatorial,
p8,p93,,2903.01,1.5x geodesic distance,combinatorial,
p8,p94,,3188.6,1.5x geodesic distance,combinatorial,
p8,p95,,3301.53,1.5x geodesic distance,combinatorial,
p8,p96,,3579.77,1.5x geodesic distance,combinatorial,
p8,p97,,3408.74,1.5x geodesic distance,combinatorial,
p8,p98,,3554.25,1.5x geodesic distance,combinatorial,
p8,p99,,3720.15,1.5x geodesic distance,combinatorial,
p80,p1,,2600.27,1.5x geodesic distance,combinatorial,
p80,p10,,2606.72,1.5x geodesic distance,combinatorial,
p80,p100,,804.96,1.5x geodesic distance,combinatorial,
p80,p101,,1503.84,1.5x geodesic distance,combinatorial,
p80,p102,,1779.3,1.5x geodesic distance,combinatorial,
p80,p103,,363.81,1.5x geodesic distance,combinatorial,
p80,p104,,173.67,1.5x geodesic distance,combinatorial,
p80,p106,,248.58,1.5x geodesic distance,combinatorial,
p80,p107,,399.49,1.5x geodesic distance,combinatorial,
p80,p108,,422.96,1.5x geodesic distance,combinatorial,
p80,p109,,405.61,1.5x geodesic distance,combinatorial,
p80,p11,,2587.87,1.5x geodesic distance,combinatorial,
p80,p110,,614.27,1.5x geodesic distance,combinatorial,
p80,p111,,471.5,1.5x geodesic distance,combinatorial,
p80,p112,,419.91,1.5x geodesic distance,combinatorial,
p80,p113,,352.54,1.5x geodesic distance,combinatorial,
p80,p114,,379.36,1.5x geodesic distance,combinatorial,
p80,p115,,623.37,1.5x geodesic distance,combinatorial,
p80,p116,,555.99,1.5x geodesic distance,combinatorial,
p80,p117,,605.09,1.5x geodesic distance,combinatorial,
p80,p118,,783.17,1.5x geodesic distance,combinatorial,
p80,p119,,779.02,1.5x geodesic distance,combinatorial,
p80,p12,,2523.3,1.5x geodesic distance,combinatorial,
p80,p120,,817.41,1.5x geodesic distance,combinatorial,
p80,p121,,821.13,1.5x geodesic distance,combinatorial,
p80,p122,,1004.78,1.5x geodesic distance,combinatorial,
p80,p123,,901.98,1.5x geodesic distance,combinatorial,
p80,p124,,1048.36,1.5x geodesic distance,combinatorial,
p80,p125,,1004.16,1.5x geodesic distance,combinatorial,
p80,p126,,1032.31,1.5x geodesic distance,combinatorial,
p80,p127,,1079.31,1.5x geodesic distance,combinatorial,
p80,p128,,1134.72,1.5x geodesic distance,combinatorial,
p80,p129,,1134.05,1.5x geodesic distance,combinatorial,
p80,p13,,2281.43,1.5x geodesic distance,combinatorial,
p80,p130,,1254.07,1.5x geodesic distance,combinatorial,
p80,p131,,1285.39,1.5x geodesic distance,combinatorial,
p80,p132,,1132.85,1.5x geodesic distance,combinatorial,
p80,p133,,1262.91,1.5x geodesic distance,combinatorial,
p80,p134,,1351.37,1.5x geodesic distance,combinatorial,
p80,p14,,2220.63,1.5x geodesic distance,combinatorial,
p80,p15,,2171.03,1.5x geodesic distance,combinatorial,
p80,p16,,1856.93,1.5x geodesic distance,combinatorial,
p80,p17,,2008.24,1.5x geodesic distance,combinatorial,
p80,p18,,1828.47,1.5x geodesic distance,combinatorial,
p80,p19,,1530.2,1.5x geodesic distance,combinatorial,
p80,p2,,2470.47,1.5x geodesic distance,combinatorial,
p80,p20,,1606.81,1.5x geodesic distance,combinatorial,
p80,p21,,1584.14,1.5x geodesic distance,combinatorial,
p80,p22,,1454.99,1.5x geodesic distance,combinatorial,
p80,p23,,1368.84,1.5x geodesic distance,combinatorial,
p80,p24,,1328.29,1.5x geodesic distance,combinatorial,
p80,p25,,1884.33,1.5x geodesic distance,combinatorial,
p80,p26,,1705.29,1.5x geodesic distance,combinatorial,
p80,p27,,2286.91,1.5x geodesic distance,combinatorial,
p80,p28,,2165.84,1.5x geodesic distance,combinatorial,
p80,p29,,1841.34,1.5x geodesic distance,combinatorial,
p80,p3,,2256.22,1.5x geodesic distance,combinatorial,
p80,p30,,2152.45,1.5x geodesic distance,combinatorial,
p80,p31,,1681.96,1.5x geodesic distance,combinatorial,
p80,p32,,1198.12,1.5x geodesic distance,combinatorial,
p80,p33,,1370.57,1.5x geodesic distance,combinatorial,
p80,p34,,1381.38,1.5x geodesic distance,combinatorial,
p80,p35,,1426.42,1.5x geodesic distance,combinatorial,
p80,p36,,1095.53,1.5x geodesic distance,combinatorial,
p80,p37,,849.98,1.5x geodesic distance,combinatorial,
p80,p38,,708.04,1.5x geodesic distance,combinatorial,
p80,p39,,1229.62,1.5x geodesic distance,combinatorial,
p80,p4,,2383.64,1.5x geodesic distance,combinatorial,
p80,p40,,831.75,1.5x geodesic distance,combinatorial,
p80,p41,,644.97,1.5x geodesic distance,combinatorial,
p80,p42,,847.18,1.5x geodesic distance,combinatorial,
p80,p43,,527.92,1.5x geodesic distance,combinatorial,
p80,p44,,666.28,1.5x geodesic distance,combinatorial,
p80,p46,,334.99,1.5x geodesic distance,combinatorial,
p80,p47,,1628.44,1.5x geodesic distance,combinatorial,
p80,p48,,1438.06,1.5x geodesic distance,combinatorial,
p80,p49,,1224.04,1.5x geodesic distance,combinatorial,
p80,p5,,2631.83,1.5x geodesic distance,combinatorial,
p80,p50,,1028.94,1.5x geodesic distance,combinatorial,
p80,p51,,885.57,1.5x geodesic distance,combinatorial,
p80,p52,,1117.25,1.5x geodesic distance,combinatorial,
p80,p53,,875.75,1.5x geodesic distance,combinatorial,
p80,p54,,610.41,1.5x geodesic distance,combinatorial,
p80,p55,,656.17,1.5x geodesic distance,combinatorial,
p80,p56,,789.55,1.5x geodesic distance,combinatorial,
p80,p57,,1124.37,1.5x geodesic distance,combinatorial,
p80,p58,,1238.9,1.5x geodesic distance,combinatorial,
p80,p59,,1868.31,1.5x geodesic distance,combinatorial,
p80,p6,,2689.89,1.5x geodesic distance,combinatorial,
p80,p60,,1506.08,1.5x geodesic distance,combinatorial,
p80,p61,,1692.13,1.5x geodesic distance,combinatorial,
p80,p62,,1590.75,1.5x geodesic distance,combinatorial,
p80,p63,,1195.36,1.5x geodesic distance,combinatorial,
p80,p64,,1458.63,1.5x geodesic distance,combinatorial,
p80,p65,,1563.5,1.5x geodesic distance,combinatorial,
p80,p66,,1325.88,1.5x geodesic distance,combinatorial,
p80,p67,,1395.44,1.5x geodesic distance,combinatorial,
p80,p68,,532.46,1.5x geodesic distance,combinatorial,
p80,p69,,360.12,1.5x geodesic distance,combinatorial,
p80,p7,,2222.37,1.5x geodesic distance,combinatorial,
p80,p71,,414.9,1.5x geodesic distance,combinatorial,
p80,p72,,385.11,1.5x geodesic distance,combinatorial,
p80,p73,,513.58,1.5x geodesic distance,combinatorial,
p80,p8,,2668.67,1.5x geodesic distance,combinatorial,
p80,p84,,566.36,1.5x geodesic distance,combinatorial,
p80,p85,,823.32,1.5x geodesic distance,combinatorial,
p80,p86,,1029.45,1.5x geodesic distance,combinatorial,
p80,p87,,1006.38,1.5x geodesic distance,combinatorial,
p80,p88,,787.42,1.5x geodesic distance,combinatorial,
p80,p89,,862.19,1.5x geodesic distance,combinatorial,
p80,p9,,2779.62,1.5x geodesic distance,combinatorial,
p80,p90,,1153.66,1.5x geodesic distance,combinatorial,
p80,p91,,1180.99,1.5x geodesic distance,combinatorial,
p80,p92,,591.04,1.5x geodesic distance,combinatorial,
p80,p93,,511.84,1.5x geodesic distance,combinatorial,
p80,p94,,871.87,1.5x geodesic distance,combinatorial,
p80,p95,,843.34,1.5x geodesic distance,combinatorial,
p80,p96,,1132.64,1.5x geodesic distance,combinatorial,
p80,p97,,886.04,1.5x geodesic distance,combinatorial,
p80,p98,,963.62,1.5x geodesic distance,combinatorial,
p80,p99,,1075.58,1.5x geodesic distance,combinatorial,
p81,p1,,2420.32,1.5x geodesic distance,combinatorial,
p81,p10,,2387.9,1.5x geodesic distance,combinatorial,
p81,p100,,1007.44,1.5x geodesic distance,combinatorial,
p81,p101,,1559.12,1.5x geodesic distance,combinatorial,
p81,p102,,1848.78,1.5x geodesic distance,combinatorial,
p81,p103,,582.59,1.5x geodesic distance,combinatorial,
p81,p104,,391.46,1.5x geodesic distance,combinatorial,
p81,p105,,423.5,1.5x geodesic distance,combinatorial,
p81,p106,,388.34,1.5x geodesic distance,combinatorial,
p81,p109,,509.59,1.5x geodesic distance,combinatorial,
p81,p11,,2369.41,1.5x geodesic distance,combinatorial,
p81,p110,,764.33,1.5x geodesic distance,combinatorial,
p81,p111,,687.66,1.5x geodesic distance,combinatorial,
p81,p112,,613.86,1.5x geodesic distance,combinatorial,
p81,p113,,530.78,1.5x geodesic distance,combinatorial,
p81,p114,,538.09,1.5x geodesic distance,combinatorial,
p81,p115,,833.16,1.5x geodesic distance,combinatorial,
p81,p116,,746.23,1.5x geodesic distance,combinatorial,
p81,p117,,779.86,1.5x geodesic distance,combinatorial,
p81,p118,,955.35,1.5x geodesic distance,combinatorial,
p81,p119,,993.49,1.5x geodesic distance,combinatorial,
p81,p12,,2311.2,1.5x geodesic distance,combinatorial,
p81,p120,,1026.92,1.5x geodesic distance,combinatorial,
p81,p121,,1028.41,1.5x geodesic distance,combinatorial,
p81,p122,,1217.47,1.5x geodesic distance,combinatorial,
p81,p123,,1104.96,1.5x geodesic distance,combinatorial,
p81,p124,,1245.27,1.5x geodesic distance,combinatorial,
p81,p125,,1211.84,1.5x geodesic distance,combinatorial,
p81,p126,,1246.29,1.5x geodesic distance,combinatorial,
p81,p127,,1298.11,1.5x geodesic distance,combinatorial,
p81,p128,,1351.37,1.5x geodesic distance,combinatorial,
p81,p129,,1349.75,1.5x geodesic distance,combinatorial,
p81,p13,,2062.86,1.5x geodesic distance,combinatorial,
p81,p130,,1472.69,1.5x geodesic distance,combinatorial,
p81,p131,,1504.2,1.5x geodesic distance,combinatorial,
p81,p132,,1350.37,1.5x geodesic distance,combinatorial,
p81,p133,,1481.5,1.5x geodesic distance,combinatorial,
p81,p134,,1568.52,1.5x geodesic distance,combinatorial,
p81,p14,,2035.2,1.5x geodesic distance,combinatorial,
p81,p15,,1971.04,1.5x geodesic distance,combinatorial,
p81,p16,,1655.56,1.5x geodesic distance,combinatorial,
p81,p17,,1826.84,1.5x geodesic distance,combinatorial,
p81,p18,,1653.89,1.5x geodesic distance,combinatorial,
p81,p19,,1370.1,1.5x geodesic distance,combinatorial,
p81,p2,,2285.63,1.5x geodesic distance,combinatorial,
p81,p20,,1421.63,1.5x geodesic distance,combinatorial,
p81,p21,,1380.07,1.5x geodesic distance,combinatorial,
p81,p22,,1259.9,1.5x geodesic distance,combinatorial,
p81,p23,,1174.02,1.5x geodesic distance,combinatorial,
p81,p24,,1114.17,1.5x geodesic distance,combinatorial,
p81,p25,,1671.89,1.5x geodesic distance,combinatorial,
p81,p26,,1490.87,1.5x geodesic distance,combinatorial,
p81,p27,,2068.29,1.5x geodesic distance,combinatorial,
p81,p28,,1948.85,1.5x geodesic distance,combinatorial,
p81,p29,,1623.4,1.5x geodesic distance,combinatorial,
p81,p3,,2078.16,1.5x geodesic distance,combinatorial,
p81,p30,,1938.69,1.5x geodesic distance,combinatorial,
p81,p31,,1466.91,1.5x geodesic distance,combinatorial,
p81,p32,,1003.43,1.5x geodesic distance,combinatorial,
p81,p33,,1152.72,1.5x geodesic distance,combinatorial,
p81,p34,,1162.61,1.5x geodesic distance,combinatorial,
p81,p35,,1250.45,1.5x geodesic distance,combinatorial,
p81,p36,,940.56,1.5x geodesic distance,combinatorial,
p81,p37,,726.26,1.5x geodesic distance,combinatorial,
p81,p38,,519.9,1.5x geodesic distance,combinatorial,
p81,p39,,1018.41,1.5x geodesic distance,combinatorial,
p81,p4,,2201.78,1.5x geodesic distance,combinatorial,
p81,p42,,744.47,1.5x geodesic distance,combinatorial,
p81,p43,,415.71,1.5x geodesic distance,combinatorial,
p81,p44,,502.72,1.5x geodesic distance,combinatorial,
p81,p46,,244.96,1.5x geodesic distance,combinatorial,
p81,p47,,1422.8,1.5x geodesic distance,combinatorial,
p81,p48,,1240.44,1.5x geodesic distance,combinatorial,
p81,p49,,1011.98,1.5x geodesic distance,combinatorial,
p81,p5,,2441.76,1.5x geodesic distance,combinatorial,
p81,p50,,842.55,1.5x geodesic distance,combinatorial,
p81,p51,,706.72,1.5x geodesic distance,combinatorial,
p81,p52,,901.27,1.5x geodesic distance,combinatorial,
p81,p53,,670.75,1.5x geodesic distance,combinatorial,
p81,p54,,406.1,1.5x geodesic distance,combinatorial,
p81,p55,,499.24,1.5x geodesic distance,combinatorial,
p81,p56,,633.71,1.5x geodesic distance,combinatorial,
p81,p57,,993.14,1.5x geodesic distance,combinatorial,
p81,p58,,1189.65,1.5x geodesic distance,combinatorial,
p81,p59,,1663.5,1.5x geodesic distance,combinatorial,
p81,p6,,2487.22,1.5x geodesic distance,combinatorial,
p81,p60,,1317.74,1.5x geodesic distance,combinatorial,
p81,p61,,1503.88,1.5x geodesic distance,combinatorial,
p81,p62,,1400.16,1.5x geodesic distance,combinatorial,
p81,p63,,1037.18,1.5x geodesic distance,combinatorial,
p81,p64,,1308.65,1.5x geodesic distance,combinatorial,
p81,p65,,1411.18,1.5x geodesic distance,combinatorial,
p81,p66,,1217.07,1.5x geodesic distance,combinatorial,
p81,p67,,1272.8,1.5x geodesic distance,combinatorial,
p81,p68,,382.23,1.5x geodesic distance,combinatorial,
p81,p69,,173.81,1.5x geodesic distance,combinatorial,
p81,p7,,2024.44,1.5x geodesic distance,combinatorial,
p81,p73,,379.62,1.5x geodesic distance,combinatorial,
p81,p74,,573.05,1.5x geodesic distance,combinatorial,
p81,p75,,368.67,1.5x geodesic distance,combinatorial,
p81,p76,,330.1,1.5x geodesic distance,combinatorial,
p81,p77,,258,1.5x geodesic distance,combinatorial,
p81,p78,,185.3,1.5x geodesic distance,combinatorial,
p81,p79,,257.82,1.5x geodesic distance,combinatorial,
p81,p8,,2462.51,1.5x geodesic distance,combinatorial,
p81,p84,,489.88,1.5x geodesic distance,combinatorial,
p81,p85,,714.3,1.5x geodesic distance,combinatorial,
p81,p86,,938.47,1.5x geodesic distance,combinatorial,
p81,p87,,951.49,1.5x geodesic distance,combinatorial,
p81,p88,,763.39,1.5x geodesic distance,combinatorial,
p81,p89,,878.43,1.5x geodesic distance,combinatorial,
p81,p9,,2565.3,1.5x geodesic distance,combinatorial,
p81,p90,,1137.48,1.5x geodesic distance,combinatorial,
p81,p91,,1178.31,1.5x geodesic distance,combinatorial,
p81,p92,,629.19,1.5x geodesic distance,combinatorial,
p81,p94,,938.82,1.5x geodesic distance,combinatorial,
p81,p95,,955.15,1.5x geodesic distance,combinatorial,
p81,p96,,1251.97,1.5x geodesic distance,combinatorial,
p81,p97,,1022.52,1.5x geodesic distance,combinatorial,
p81,p98,,1127.7,1.5x geodesic distance,combinatorial,
p81,p99,,1264.63,1.5x geodesic distance,combinatorial,
p82,p1,,2517.66,1.5x geodesic distance,combinatorial,
p82,p10,,2442.54,1.5x geodesic distance,combinatorial,
p82,p100,,929.1,1.5x geodesic distance,combinatorial,
p82,p101,,1454.85,1.5x geodesic distance,combinatorial,
p82,p102,,1743.44,1.5x geodesic distance,combinatorial,
p82,p103,,539.52,1.5x geodesic distance,combinatorial,
p82,p104,,357.9,1.5x geodesic distance,combinatorial,
p82,p105,,359.05,1.5x geodesic distance,combinatorial,
p82,p106,,294.31,1.5x geodesic distance,combinatorial,
p82,p107,,329.2,1.5x geodesic distance,combinatorial,
p82,p108,,365.97,1.5x geodesic distance,combinatorial,
p82,p109,,405.29,1.5x geodesic distance,combinatorial,
p82,p11,,2418.19,1.5x geodesic distance,combinatorial,
p82,p110,,665.26,1.5x geodesic distance,combinatorial,
p82,p111,,629.29,1.5x geodesic distance,combinatorial,
p82,p112,,533.93,1.5x geodesic distance,combinatorial,
p82,p113,,444.65,1.5x geodesic distance,combinatorial,
p82,p114,,444.48,1.5x geodesic distance,combinatorial,
p82,p115,,763.23,1.5x geodesic distance,combinatorial,
p82,p116,,662.08,1.5x geodesic distance,combinatorial,
p82,p117,,688.17,1.5x geodesic distance,combinatorial,
p82,p118,,861.37,1.5x geodesic distance,combinatorial,
p82,p119,,928.99,1.5x geodesic distance,combinatorial,
p82,p12,,2386.96,1.5x geodesic distance,combinatorial,
p82,p120,,955.21,1.5x geodesic distance,combinatorial,
p82,p121,,954.28,1.5x geodesic distance,combinatorial,
p82,p122,,1148.97,1.5x geodesic distance,combinatorial,
p82,p123,,1026.49,1.5x geodesic distance,combinatorial,
p82,p124,,1161.72,1.5x geodesic distance,combinatorial,
p82,p125,,1137.21,1.5x geodesic distance,combinatorial,
p82,p126,,1179.7,1.5x geodesic distance,combinatorial,
p82,p127,,1250.28,1.5x geodesic distance,combinatorial,
