"r","rs","i","h","value"
"Andhra_Pradesh",7,"ONSWIND","H31",0.178856557377049
"Andhra_Pradesh",7,"ONSWIND","H29",0.207218579234973
"Andhra_Pradesh",7,"ONSWIND","H35",0.0748
"Andhra_Pradesh",7,"ONSWIND","H30",0.219295081967213
"Andhra_Pradesh",7,"ONSWIND","H33",0.150863387978142
"Andhra_Pradesh",7,"ONSWIND","H25",0.262714673913043
"Andhra_Pradesh",7,"ONSWIND","H27",0.276413373860183
"Andhra_Pradesh",7,"ONSWIND","H24",0.283576086956522
"Andhra_Pradesh",7,"ONSWIND","H22",0.359380434782609
"Andhra_Pradesh",7,"ONSWIND","H28",0.278875
"Andhra_Pradesh",7,"ONSWIND","H23",0.393438405797101
"Andhra_Pradesh",7,"ONSWIND","H26",0.229163636363636
"Andhra_Pradesh",7,"ONSWIND","H11",0.0645211864406779
"Andhra_Pradesh",7,"ONSWIND","H13",0.310260204081633
"Andhra_Pradesh",7,"ONSWIND","H10",0.0412627118644067
"Andhra_Pradesh",7,"ONSWIND","H8",0.202412429378531
"Andhra_Pradesh",7,"ONSWIND","H14",0.395
"Andhra_Pradesh",7,"ONSWIND","H9",0.0819435028248587
"Andhra_Pradesh",7,"ONSWIND","H12",0.0837005649717514
"Andhra_Pradesh",7,"ONSWIND","H18",0.144969230769231
"Andhra_Pradesh",7,"ONSWIND","H20",0.310090128755365
"Andhra_Pradesh",7,"ONSWIND","H17",0.183896703296703
"Andhra_Pradesh",7,"ONSWIND","H15",0.301287912087912
"Andhra_Pradesh",7,"ONSWIND","H21",0.386225
"Andhra_Pradesh",7,"ONSWIND","H16",0.244007326007326
"Andhra_Pradesh",7,"ONSWIND","H19",0.173604395604396
"Andhra_Pradesh",7,"ONSWIND","H4",0.0624717741935484
"Andhra_Pradesh",7,"ONSWIND","H6",0.181798076923077
"Andhra_Pradesh",7,"ONSWIND","H3",0.0614032258064516
"Andhra_Pradesh",7,"ONSWIND","H1",0.123087557603687
"Andhra_Pradesh",7,"ONSWIND","H7",0.05735
"Andhra_Pradesh",7,"ONSWIND","H2",0.0902204301075269
"Andhra_Pradesh",7,"ONSWIND","H5",0.0913548387096774
