r,2010.spring.hydED,2010.summer.hydED,2010.fall.hydED,2010.winter.hydED,2012.spring.hydED,2012.summer.hydED,2012.fall.hydED,2012.winter.hydED,2014.spring.hydED,2014.summer.hydED,2014.fall.hydED,2014.winter.hydED,2010.spring.hydEND,2010.summer.hydEND,2010.fall.hydEND,2010.winter.hydEND,2012.spring.hydEND,2012.summer.hydEND,2012.fall.hydEND,2012.winter.hydEND,2014.spring.hydEND,2014.summer.hydEND,2014.fall.hydEND,2014.winter.hydEND
p64,1,1,1,1,1,1,1,1,1,1,1,1,1.241090801,0.864711883,0.886556432,1.131363514,0.745980102,0.620606509,0.584887062,0.325933363,0.184485474,0.248284883,0.304400385,0.551821872
p65,1,1,1,1,1,1,1,1,1,1,1,1,1.385234565,1.154492951,1.172787397,1.598292944,1.509079965,1.384449179,1.289964925,0.443380441,0.368327585,0.634140703,0.685703877,1.129844633
p66,1.412726021,0.820561358,0.963807351,1.309240315,0.635702739,0.285705159,0.456020675,0.121531236,0.532128702,0.5715162,0.783356545,1.063008595,1.747256429,0.957295299,1.760723655,1.975279141,0.789328546,0.282919745,0.670407069,0.086574634,0.396411984,0.643424545,0.843141809,1.128479387
p67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p68,1,1,1,1,1,1,1,1,1,1,1,1,1.57729753,1.332780424,1.834011243,1.86260878,1.1895104,1.010323598,0.522674433,0.761346119,0.647091327,1.142215103,0.62928864,0.514186986
p69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p70,1,1,1,1,1,1,1,1,1,1,1,1,0.896519832,1.116882847,1.313633327,1.093779317,0.974159024,1.060162454,0.881851959,0.902765886,0.919931999,0.960600696,1.014024508,0.843130136
p71,1,1,1,1,1,1,1,1,1,1,1,1,1.800427889,1.541644654,1.540473717,3.052947161,0.756030708,0.587874762,0.050069919,0.373535862,1.232635572,0.807562416,1.062325874,0.292267761
p72,1.411980797,1.259465105,2.301112759,1.980829572,1.154716732,0.392297727,0.134355857,0.557045552,0.864011,0.975598808,0.633983886,0.498145731,1,1,1,1,1,1,1,1,1,1,1,1
p73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p74,0.967378427,0.876363096,0.784718743,0.796732459,1.052625168,0.751550712,0.787797911,0.884446611,1.346545259,0.937627233,1.02359546,1.109874476,1.169769962,1.031622844,0.935829807,0.970909148,1.028842362,0.796542326,0.835179915,0.891965904,1.294977221,1.001751559,1.107143049,1.098315761
p75,0.979659536,0.996382535,0.872837694,0.978355897,0.757677635,1.189395025,1.261322617,1.028334476,1.304265557,1.221429789,1.472600864,1.093701558,0.918564632,0.9401424,0.819217058,0.913072337,0.725905627,1.178746713,1.245393518,1.001259634,1.266420751,1.197014164,1.439155917,1.058618349
