wst,r,t,Value
fsu,p104,2034,1.1360185794308717
fsu,p104,2036,1.1220481894580443
fsu,p104,2038,1.1100192881037283
fsu,p104,2040,1.110494314305131
fsu,p104,2042,1.0689470435499462
fsu,p104,2044,1.0770766958637092
fsu,p104,2046,1.118248062328177
fsu,p104,2048,1.0354391958924305
fsu,p104,2050,1.0211682296054363
fsu,p105,2010,1.0
fsu,p105,2012,1.0268629159106255
fsu,p105,2014,1.033579052098261
fsu,p105,2016,1.0630709868038393
fsu,p105,2018,1.0462798938310551
fsu,p105,2020,1.0675431330288174
fsu,p105,2022,1.1233153532628537
fsu,p105,2024,1.1033545912655054
fsu,p105,2026,1.0323072505008164
fsu,p105,2028,1.0562912489545344
fsu,p105,2030,1.0943013601523233
fsu,p105,2032,1.129528106020844
fsu,p105,2034,1.129821040829543
fsu,p105,2036,1.1252074532573706
fsu,p105,2038,1.1337372219612771
fsu,p105,2040,1.1496259919447505
fsu,p105,2042,1.1210710850520724
fsu,p105,2044,1.1717779574144065
fsu,p105,2046,1.2381910184112483
fsu,p105,2048,1.1485922424358777
fsu,p105,2050,1.1545030488146621
fsu,p106,2010,1.0
fsu,p106,2012,1.0134983201396597
fsu,p106,2014,1.0277166124890895
fsu,p106,2016,1.0601611744803272
fsu,p106,2018,1.0365835811408108
fsu,p106,2020,1.0494085811309628
fsu,p106,2022,1.1034532399967156
fsu,p106,2024,1.066189721388454
fsu,p106,2026,1.0075084700821086
fsu,p106,2028,1.0374290267682729
fsu,p106,2030,1.0706213501755841
fsu,p106,2032,1.1067539304738194
fsu,p106,2034,1.1132204013612566
fsu,p106,2036,1.0967628977063133
fsu,p106,2038,1.1147842715305998
fsu,p106,2040,1.1328419613939549
fsu,p106,2042,1.1217430957160688
fsu,p106,2044,1.1787718849682352
fsu,p106,2046,1.2424950255153926
fsu,p106,2048,1.1607102652425276
fsu,p106,2050,1.1718489544975284
fsu,p107,2010,1.0
fsu,p107,2012,1.0370945115407941
fsu,p107,2014,1.036377355621747
fsu,p107,2016,1.050992495107277
fsu,p107,2018,1.0403084226419657
